OBJECTID_1,NEIGHBOURHOOD_NAME,HOOD_158,ASSAULT_2014,ASSAULT_2015,ASSAULT_2016,ASSAULT_2017,ASSAULT_2018,ASSAULT_2019,ASSAULT_2020,ASSAULT_2021,ASSAULT_2022,ASSAULT_2023,ASSAULT_2024,ASSAULT_2025,ASSAULT_RATE_2014,ASSAULT_RATE_2015,ASSAULT_RATE_2016,ASSAULT_RATE_2017,ASSAULT_RATE_2018,ASSAULT_RATE_2019,ASSAULT_RATE_2020,ASSAULT_RATE_2021,ASSAULT_RATE_2022,ASSAULT_RATE_2023,ASSAULT_RATE_2024,ASSAULT_RATE_2025,AUTOTHEFT_2014,AUTOTHEFT_2015,AUTOTHEFT_2016,AUTOTHEFT_2017,AUTOTHEFT_2018,AUTOTHEFT_2019,AUTOTHEFT_2020,AUTOTHEFT_2021,AUTOTHEFT_2022,AUTOTHEFT_2023,AUTOTHEFT_2024,AUTOTHEFT_2025,AUTOTHEFT_RATE_2014,AUTOTHEFT_RATE_2015,AUTOTHEFT_RATE_2016,AUTOTHEFT_RATE_2017,AUTOTHEFT_RATE_2018,AUTOTHEFT_RATE_2019,AUTOTHEFT_RATE_2020,AUTOTHEFT_RATE_2021,AUTOTHEFT_RATE_2022,AUTOTHEFT_RATE_2023,AUTOTHEFT_RATE_2024,AUTOTHEFT_RATE_2025,BIKETHEFT_2014,BIKETHEFT_2015,BIKETHEFT_2016,BIKETHEFT_2017,BIKETHEFT_2018,BIKETHEFT_2019,BIKETHEFT_2020,BIKETHEFT_2021,BIKETHEFT_2022,BIKETHEFT_2023,BIKETHEFT_2024,BIKETHEFT_2025,BIKETHEFT_RATE_2014,BIKETHEFT_RATE_2015,BIKETHEFT_RATE_2016,BIKETHEFT_RATE_2017,BIKETHEFT_RATE_2018,BIKETHEFT_RATE_2019,BIKETHEFT_RATE_2020,BIKETHEFT_RATE_2021,BIKETHEFT_RATE_2022,BIKETHEFT_RATE_2023,BIKETHEFT_RATE_2024,BIKETHEFT_RATE_2025,BREAKENTER_2014,BREAKENTER_2015,BREAKENTER_2016,BREAKENTER_2017,BREAKENTER_2018,BREAKENTER_2019,BREAKENTER_2020,BREAKENTER_2021,BREAKENTER_2022,BREAKENTER_2023,BREAKENTER_2024,BREAKENTER_2025,BREAKENTER_RATE_2014,BREAKENTER_RATE_2015,BREAKENTER_RATE_2016,BREAKENTER_RATE_2017,BREAKENTER_RATE_2018,BREAKENTER_RATE_2019,BREAKENTER_RATE_2020,BREAKENTER_RATE_2021,BREAKENTER_RATE_2022,BREAKENTER_RATE_2023,BREAKENTER_RATE_2024,BREAKENTER_RATE_2025,HOMICIDE_2014,HOMICIDE_2015,HOMICIDE_2016,HOMICIDE_2017,HOMICIDE_2018,HOMICIDE_2019,HOMICIDE_2020,HOMICIDE_2021,HOMICIDE_2022,HOMICIDE_2023,HOMICIDE_2024,HOMICIDE_2025,HOMICIDE_RATE_2014,HOMICIDE_RATE_2015,HOMICIDE_RATE_2016,HOMICIDE_RATE_2017,HOMICIDE_RATE_2018,HOMICIDE_RATE_2019,HOMICIDE_RATE_2020,HOMICIDE_RATE_2021,HOMICIDE_RATE_2022,HOMICIDE_RATE_2023,HOMICIDE_RATE_2024,HOMICIDE_RATE_2025,ROBBERY_2014,ROBBERY_2015,ROBBERY_2016,ROBBERY_2017,ROBBERY_2018,ROBBERY_2019,ROBBERY_2020,ROBBERY_2021,ROBBERY_2022,ROBBERY_2023,ROBBERY_2024,ROBBERY_2025,ROBBERY_RATE_2014,ROBBERY_RATE_2015,ROBBERY_RATE_2016,ROBBERY_RATE_2017,ROBBERY_RATE_2018,ROBBERY_RATE_2019,ROBBERY_RATE_2020,ROBBERY_RATE_2021,ROBBERY_RATE_2022,ROBBERY_RATE_2023,ROBBERY_RATE_2024,ROBBERY_RATE_2025,SHOOTING_2014,SHOOTING_2015,SHOOTING_2016,SHOOTING_2017,SHOOTING_2018,SHOOTING_2019,SHOOTING_2020,SHOOTING_2021,SHOOTING_2022,SHOOTING_2023,SHOOTING_2024,SHOOTING_2025,SHOOTING_RATE_2014,SHOOTING_RATE_2015,SHOOTING_RATE_2016,SHOOTING_RATE_2017,SHOOTING_RATE_2018,SHOOTING_RATE_2019,SHOOTING_RATE_2020,SHOOTING_RATE_2021,SHOOTING_RATE_2022,SHOOTING_RATE_2023,SHOOTING_RATE_2024,SHOOTING_RATE_2025,THEFTFROMMV_2014,THEFTFROMMV_2015,THEFTFROMMV_2016,THEFTFROMMV_2017,THEFTFROMMV_2018,THEFTFROMMV_2019,THEFTFROMMV_2020,THEFTFROMMV_2021,THEFTFROMMV_2022,THEFTFROMMV_2023,THEFTFROMMV_2024,THEFTFROMMV_2025,THEFTFROMMV_RATE_2014,THEFTFROMMV_RATE_2015,THEFTFROMMV_RATE_2016,THEFTFROMMV_RATE_2017,THEFTFROMMV_RATE_2018,THEFTFROMMV_RATE_2019,THEFTFROMMV_RATE_2020,THEFTFROMMV_RATE_2021,THEFTFROMMV_RATE_2022,THEFTFROMMV_RATE_2023,THEFTFROMMV_RATE_2024,THEFTFROMMV_RATE_2025,THEFTOVER_2014,THEFTOVER_2015,THEFTOVER_2016,THEFTOVER_2017,THEFTOVER_2018,THEFTOVER_2019,THEFTOVER_2020,THEFTOVER_2021,THEFTOVER_2022,THEFTOVER_2023,THEFTOVER_2024,THEFTOVER_2025,THEFTOVER_RATE_2014,THEFTOVER_RATE_2015,THEFTOVER_RATE_2016,THEFTOVER_RATE_2017,THEFTOVER_RATE_2018,THEFTOVER_RATE_2019,THEFTOVER_RATE_2020,THEFTOVER_RATE_2021,THEFTOVER_RATE_2022,THEFTOVER_RATE_2023,THEFTOVER_RATE_2024,THEFTOVER_RATE_2025,POPULATION_2025,Shape__Area,Shape__Length
1,South Eglinton-Davisville,174,55,56,66,73,74,62,74,106,122,100,123,126,301.171844482422,304.911254882813,342.821533203125,356.340911865234,340.339416503906,270.683258056641,309.701171875,427.833374023438,474.394378662109,368.745147705078,434.368041992188,435.955993652344,2,4,8,7,14,8,15,16,10,20,19,17,10.9517030715942,21.7793750762939,41.5541229248047,34.169677734375,64.388542175293,34.926872253418,62.7772674560547,64.5786209106445,38.8847846984863,73.7490310668945,67.0975036621094,58.8194580078125,14,19,27,33,29,42,92,33,16,37,21,6,76.6619186401367,103.452033996582,140.245162963867,161.08561706543,133.376266479492,183.366073608398,385.033905029297,133.193420410156,62.2156562805176,136.43571472168,74.160400390625,20.7598094940186,27,32,25,37,48,83,69,44,24,43,52,37,147.847991943359,174.235000610352,129.856643676758,180.611145019531,220.760711669922,362.366302490234,288.775421142578,177.591217041016,93.323486328125,158.560424804688,183.635269165039,128.018829345703,0,0,1,0,0,1,1,1,0,0,0,0,0,0,5.19426536560059,0,0,4.36585903167725,4.18515110015869,4.03616380691528,0,0,0,0,10,8,8,7,12,5,16,9,15,3,16,7,54.7585144042969,43.5587501525879,41.5541229248047,34.169677734375,55.1901779174805,21.8292942047119,66.9624176025391,36.3254776000977,58.3271751403809,11.0623550415039,56.5031623840332,24.2197780609131,1,0,1,0,1,0,1,0,1,0,2,0,5.47585153579712,0,5.19426536560059,0,4.59918117523193,0,4.18515110015869,0,3.88847851753235,0,7.06289529800415,0,13,18,11,16,18,24,41,22,42,40,25,29,71.1860656738281,98.0071868896484,57.1369209289551,78.1021194458008,82.7852630615234,104.780616760254,171.591201782227,88.7956085205078,163.316101074219,147.498062133789,88.2861862182617,100.339073181152,4,3,4,1,3,3,4,6,3,8,6,6,21.9034061431885,16.3345317840576,20.7770614624023,4.88138246536255,13.7975444793701,13.0975770950317,16.7406044006348,24.216983795166,11.6654357910156,29.4996128082275,21.188684463501,20.7598094940186,28902,944309.032714844,4005.54988673295
2,North Toronto,173,53,57,47,61,66,84,80,118,136,105,128,129,455.757171630859,492.313018798828,406.398620605469,482.213439941406,477.5341796875,561.760192871094,501.284545898438,700.504577636719,766.369873046875,554.177429199219,640.160034179688,626.76123046875,8,2,2,2,3,5,14,15,10,20,10,14,68.7935333251953,17.2741413116455,17.2935581207275,15.8102769851685,21.7060985565186,33.4381065368652,87.7247924804688,89.0471954345703,56.3507270812988,105.557609558105,50.0125045776367,68.0205993652344,8,13,9,14,18,22,52,23,12,22,14,15,68.7935333251953,112.281913757324,77.8210144042969,110.671936035156,130.236602783203,147.127670288086,325.8349609375,136.539031982422,67.6208724975586,116.11336517334,70.0175018310547,72.8792114257813,25,44,15,24,42,36,89,49,48,31,31,36,214.979797363281,380.031097412109,129.701690673828,189.723327636719,303.885406494141,240.754364013672,557.679077148438,290.887512207031,270.483489990234,163.614288330078,155.038757324219,174.910110473633,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6.68762111663818,6.26605653762817,0,0,0,0,0,7,12,8,6,14,19,3,12,12,14,18,11,60.1943435668945,103.644844055176,69.1742324829102,47.4308319091797,101.295127868652,127.064804077148,18.7981700897217,71.2377548217773,67.6208724975586,73.8903274536133,90.0225067138672,53.4447593688965,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,6.68762111663818,0,5.93647956848145,5.63507270812988,0,5.00125026702881,0,23,7,15,14,8,18,26,16,24,40,11,13,197.781402587891,60.4594917297363,129.701690673828,110.671936035156,57.8829307556152,120.377182006836,162.91748046875,94.9836730957031,135.241744995117,211.115219116211,55.0137519836426,63.1619873046875,2,3,2,2,5,4,7,2,4,7,6,5,17.1983833312988,25.9112110137939,17.2935581207275,15.8102769851685,36.1768341064453,26.7504844665527,43.8623962402344,11.8729591369629,22.5402908325195,36.9451637268066,30.0075016021729,24.2930717468262,20582,402030.818359375,2543.94588412104
3,Dovercourt Village,172,62,65,92,105,106,113,91,115,103,104,118,128,456.150665283203,481.41015625,680.171508789063,777.893005371094,785.942016601563,841.149353027344,685.602355957031,878.8017578125,786.800109863281,783.8408203125,883.762756347656,974.940979003906,11,15,18,15,12,13,24,11,25,29,36,17,80.9299621582031,111.094650268555,133.077041625977,111.127571105957,88.9745712280273,96.7693939208984,180.818206787109,84.0593032836914,190.970901489258,218.570999145508,269.622528076172,129.484344482422,29,35,55,47,30,27,32,27,20,38,34,23,213.360794067383,259.220855712891,406.624267578125,348.199737548828,222.436416625977,200.982574462891,241.090942382813,206.327377319336,152.776718139648,286.403381347656,254.643493652344,175.184707641602,38,22,38,39,50,83,47,19,33,46,45,31,279.576232910156,162.938827514648,280.940399169922,288.931701660156,370.727355957031,617.835327148438,354.102325439453,145.193328857422,252.081588745117,346.698822021484,337.028167724609,236.118515014648,1,0,0,1,0,2,1,0,0,0,0,0,7.35726881027222,0,0,7.40850496292114,0,14.887598991394,7.53409194946289,0,0,0,0,0,29,27,16,42,35,17,16,22,14,21,12,9,213.360794067383,199.970367431641,118.290702819824,311.157196044922,259.509155273438,126.544586181641,120.545471191406,168.118606567383,106.943702697754,158.275543212891,89.8741760253906,68.550537109375,0,0,2,0,0,0,0,2,0,1,2,0,0,0,14.786337852478,0,0,0,0,15.2835092544556,0,7.53693103790283,14.9790296554565,0,45,38,51,43,87,79,68,18,29,25,22,19,331.077117919922,281.439788818359,377.051605224609,318.565704345703,645.065612792969,588.060119628906,512.318237304688,137.551574707031,221.526245117188,188.423278808594,164.769317626953,144.717803955078,5,3,5,3,4,4,3,2,4,3,7,3,36.7863464355469,22.2189311981201,36.9658432006836,22.2255153656006,29.6581897735596,29.7751979827881,22.6022758483887,15.2835092544556,30.5553436279297,22.6107921600342,52.4266014099121,22.8501796722412,13129,1503002.17700195,4965.49644819322
4,Junction-Wallace Emerson,171,164,159,171,161,163,186,171,182,138,230,195,200,698.258605957031,667.0302734375,697.902221679688,652.879150390625,655.408142089844,743.345825195313,685.34326171875,734.670837402344,541.367553710938,864.661682128906,709.194091796875,720.020141601563,21,18,14,18,34,24,47,35,47,37,47,30,89.4111633300781,75.5128555297852,57.1381912231445,72.9926986694336,136.710891723633,95.9155960083008,188.369201660156,141.282852172852,184.378799438477,139.097747802734,170.933959960938,108.003021240234,42,41,50,63,67,70,54,36,34,55,41,43,178.822326660156,172.001510620117,204.064971923828,255.474456787109,269.40087890625,279.753814697266,216.424194335938,145.31950378418,133.380401611328,206.76692199707,149.112594604492,154.804336547852,37,46,41,51,91,103,110,76,56,82,77,64,157.533950805664,192.977310180664,167.333282470703,206.812652587891,365.902679443359,411.637756347656,440.864105224609,306.785614013672,219.68537902832,308.270690917969,280.040740966797,230.406448364258,1,3,0,1,0,1,0,0,0,0,0,0,4.25767469406128,12.5854759216309,0,4.05515003204346,0,3.99648308753967,0,0,0,0,0,0,26,30,27,30,22,32,23,11,20,18,12,10,110.69953918457,125.854766845703,110.195083618164,121.654502868652,88.4599914550781,127.88745880127,92.1806716918945,44.4031791687012,78.4590606689453,67.6691741943359,43.6427116394043,36.0010070800781,0,2,1,5,3,2,4,4,3,2,0,1,0,8.39031791687012,4.08129930496216,20.2757511138916,12.062726020813,7.99296617507935,16.031421661377,16.1466121673584,11.7688598632813,7.51879692077637,0,3.60010075569153,74,26,48,72,153,124,144,53,63,58,71,56,315.067901611328,109.074127197266,195.902374267578,291.970794677734,615.199035644531,495.563903808594,577.131164550781,213.942596435547,247.146057128906,218.045120239258,258.219390869141,201.605651855469,5,5,6,6,9,4,9,8,8,9,13,9,21.2883720397949,20.975793838501,24.4877967834473,24.3309001922607,36.1881790161133,15.9859323501587,36.0706977844238,32.2932243347168,31.3836250305176,33.834587097168,47.2796058654785,32.4009056091309,27777,2222866.7331543,7435.19238437126
5,Yonge-Bay Corridor,170,387,521,481,602,576,660,377,325,441,543,554,560,3750,4761.90478515625,4119.5615234375,4949.84375,4541.154296875,5015.19775390625,2785.16552734375,2345.38500976563,3042.21850585938,3523.68603515625,3416.80029296875,3361.14282226563,13,20,20,14,32,37,16,18,30,48,38,27,125.968994140625,182.798645019531,171.291534423828,115.112648010254,252.286346435547,281.155029296875,118.203308105469,129.898239135742,206.953643798828,311.486053466797,234.365356445313,162.055099487305,220,154,202,214,263,220,172,167,229,228,192,137,2131.78295898438,1407.54956054688,1730.04455566406,1759.57897949219,2073.478515625,1671.73254394531,1270.685546875,1205.16711425781,1579.74609375,1479.55871582031,1184.16186523438,822.279602050781,69,115,60,125,99,119,148,112,123,108,95,92,668.604675292969,1051.09216308594,513.874633789063,1027.79150390625,780.510864257813,904.255310058594,1093.38061523438,808.255737304688,848.509948730469,700.843627929688,585.913391113281,552.187744140625,1,2,0,0,1,2,0,1,1,1,1,2,9.68992233276367,18.2798652648926,0,0,7.88394832611084,15.1975679397583,0,7.21656942367554,6.8984546661377,6.48929262161255,6.16750955581665,12.0040817260742,72,52,73,86,90,63,55,50,55,60,65,50,697.674438476563,475.276489257813,625.214111328125,707.120544433594,709.555358886719,478.723419189453,406.323883056641,360.828460693359,379.415008544922,389.357574462891,400.888122558594,300.102020263672,1,3,0,3,4,4,2,0,1,2,1,2,9.68992233276367,27.4197978973389,0,24.6669960021973,31.5357933044434,30.3951358795166,14.7754135131836,0,6.8984546661377,12.9785852432251,6.16750955581665,12.0040817260742,120,102,77,86,112,171,135,63,107,76,77,67,1162.79064941406,932.273071289063,659.472412109375,707.120544433594,883.002197265625,1299.39208984375,997.340454101563,454.643859863281,738.134643554688,493.186248779297,474.898223876953,402.13671875,37,30,27,35,44,63,35,26,51,52,48,35,358.527130126953,274.197967529297,231.243576049805,287.781616210938,346.893737792969,478.723419189453,258.569732666016,187.630798339844,351.821197509766,337.443206787109,296.040466308594,210.071426391602,16661,1118724.5456543,4811.10766870277
6,Bay-Cloverhill,169,107,101,122,155,136,166,106,146,122,142,122,145,764.0673828125,691.922973632813,794.167419433594,959.039733886719,800.518005371094,935.949462890625,578.823791503906,778.251586914063,610.244079589844,656.829650878906,528.069946289063,601.934509277344,7,5,8,7,19,13,9,24,15,16,8,4,49.9857177734375,34.2536125183105,52.0765533447266,43.3114700317383,111.837074279785,73.297248840332,49.1454162597656,127.931770324707,75.0300140380859,74.0089721679688,34.6275367736816,16.6050891876221,76,86,97,100,100,66,59,59,67,56,44,57,542.702087402344,589.162170410156,631.42822265625,618.735290527344,588.616149902344,372.124481201172,322.175506591797,314.498931884766,335.134063720703,259.031402587891,190.451461791992,236.622528076172,26,45,59,54,72,82,80,38,43,63,70,69,185.661239624023,308.282531738281,384.064575195313,334.117065429688,423.803649902344,462.336486816406,436.84814453125,202.558639526367,215.086029052734,291.410339355469,302.990966796875,286.437805175781,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.63824987411499,0,0,0,0,0,0,12,15,19,22,29,36,18,21,20,20,18,18,85.6898040771484,102.760841369629,123.68180847168,136.121765136719,170.698684692383,202.976989746094,98.2908325195313,111.940299987793,100.040016174316,92.5112152099609,77.9119567871094,74.722900390625,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,5.88616180419922,0,0,0,5.00200080871582,4.62556076049805,0,0,38,24,25,18,32,33,35,21,26,40,61,35,271.351043701172,164.417343139648,162.739227294922,111.372352600098,188.357177734375,186.062240600586,191.121063232422,111.940299987793,130.052017211914,185.022430419922,264.034973144531,145.294525146484,16,13,13,14,9,10,7,10,9,13,25,21,114.253067016602,89.0593948364258,84.624397277832,86.6229400634766,52.975456237793,56.3824996948242,38.2242126464844,53.3049049377441,45.0180053710938,60.1322898864746,108.211051940918,87.1767196655273,24089,690548.715332031,3359.58320926838
7,Bendale-Glen Andrew,156,137,149,174,168,183,204,134,129,166,242,196,180,734.939086914063,787.692932128906,875.207458496094,838.407043457031,905.044494628906,1002.16149902344,660.554077148438,640.866394042969,820.036560058594,1172.31018066406,938.068359375,871.755126953125,38,39,42,26,39,38,48,77,84,152,128,96,203.85173034668,206.174667358398,211.256973266602,129.753463745117,192.878341674805,186.677139282227,236.61637878418,382.532653808594,414.958251953125,736.327087402344,612.616088867188,464.936065673828,10,7,4,23,2,3,1,4,6,10,14,12,53.645191192627,37.0057106018066,20.1197128295898,114.781913757324,9.89119720458984,14.7376699447632,4.92950820922852,19.871826171875,29.6398754119873,48.442569732666,67.0048828125,58.1170082092285,71,33,30,27,33,30,20,19,24,28,23,30,380.880859375,174.455490112305,150.897842407227,134.743988037109,163.204742431641,147.376693725586,98.5901641845703,94.3911743164063,118.559501647949,135.639205932617,110.079444885254,145.292526245117,0,0,2,0,0,1,1,0,2,0,2,2,0,0,10.0598564147949,0,0,4.91255664825439,4.92950820922852,0,9.879958152771,0,9.5721263885498,9.68616771697998,53,55,49,67,44,35,19,49,54,52,56,46,284.319519042969,290.759155273438,246.46647644043,334.364715576172,217.606323242188,171.939483642578,93.6606521606445,243.429870605469,266.758880615234,251.9013671875,268.01953125,222.781860351563,1,1,3,5,1,3,7,5,7,1,3,3,5.3645191192627,5.28653001785278,15.0897846221924,24.9525909423828,4.94559860229492,14.7376699447632,34.5065574645996,24.8397827148438,34.5798530578613,4.84425735473633,14.3581886291504,14.5292520523071,84,64,45,64,53,50,44,41,69,77,71,60,450.619598388672,338.337921142578,226.346755981445,319.393157958984,262.116729736328,245.627822875977,216.898345947266,203.686218261719,340.858581542969,373.0078125,339.810485839844,290.585052490234,6,8,8,17,13,8,4,7,13,20,15,17,32.1871147155762,42.2922401428223,40.2394256591797,84.8388061523438,64.2927780151367,39.3004531860352,19.7180328369141,34.7756958007813,64.2197265625,96.885139465332,71.7909469604492,82.3324279785156,20648,4913225.28295898,9230.79989765376
8,Downsview,155,111,125,128,133,121,138,124,138,141,203,208,187,703.51123046875,792.242370605469,806.960021972656,803.382690429688,699.907470703125,767.775695800781,669.510314941406,728.424377441406,707.866882324219,956.149047851563,928.944641113281,811.103881835938,37,36,36,30,37,70,53,60,128,102,82,77,234.50373840332,228.165802001953,226.957504272461,181.214141845703,214.021286010742,389.451416015625,286.161651611328,316.706268310547,642.6025390625,480.429565429688,366.218566894531,333.983947753906,7,4,9,4,9,8,5,6,4,8,8,8,44.3655738830566,25.3517551422119,56.7393760681152,24.1618843078613,52.0592308044434,44.5087356567383,26.9963817596436,31.6706256866455,20.0813293457031,37.6807479858398,35.7286415100098,34.6996307373047,30,33,28,26,42,37,45,28,32,74,30,38,190.138168334961,209.151977539063,176.522506713867,157.05224609375,242.943084716797,205.852905273438,242.967437744141,147.796249389648,160.650634765625,348.546936035156,133.982406616211,164.8232421875,1,0,0,0,1,2,2,0,0,0,0,0,6.33793878555298,0,0,0,5.78435897827148,11.1271839141846,10.7985534667969,0,0,0,0,0,29,24,13,18,32,21,6,11,26,28,19,29,183.800231933594,152.110534667969,81.9568786621094,108.728477478027,185.099487304688,116.835426330566,32.3956604003906,58.0628128051758,130.52864074707,131.882629394531,84.8555221557617,125.786163330078,4,2,2,5,2,7,3,0,3,3,1,2,25.3517551422119,12.675877571106,12.6087503433228,30.202356338501,11.568717956543,38.9451446533203,16.1978302001953,0,15.0609970092773,14.1302814483643,4.46608018875122,8.67490768432617,60,50,61,51,62,72,76,56,64,70,50,47,380.276336669922,316.896942138672,384.56689453125,308.064025878906,358.630249023438,400.57861328125,410.345001220703,295.592498779297,321.30126953125,329.706573486328,223.304000854492,203.860336303711,5,11,3,12,3,7,10,5,15,17,14,19,31.6896953582764,69.7173309326172,18.9131259918213,72.4856567382813,17.3530769348145,38.9451446533203,53.9927635192871,26.3921871185303,75.3049850463867,80.0715942382813,62.5251235961914,82.41162109375,23055,8282833.37353516,14053.3016763336
9,Oakdale-Beverley Heights,154,220,232,230,277,302,295,235,292,309,447,405,285,1081.77209472656,1144.15344238281,1134.62585449219,1332.43542480469,1413.32836914063,1349.18823242188,1059.2265625,1303.10607910156,1348.99157714844,1882.66015625,1658.61254882813,1162.2216796875,68,70,53,56,74,91,101,113,110,167,109,111,334.365936279297,345.218719482422,261.457244873047,269.373229980469,346.312255859375,416.190246582031,455.242034912109,504.2841796875,480.223510742188,703.365173339844,446.391998291016,452.654754638672,5,8,7,1,7,8,11,9,14,12,16,6,24.585729598999,39.4535675048828,34.5320892333984,4.81023597717285,32.7592658996582,36.5881538391113,49.5808181762695,40.1642265319824,61.1193580627441,50.5412139892578,65.5254287719727,24.4678249359131,57,43,24,32,44,80,44,63,50,88,58,38,280.277313232422,212.062927246094,118.395736694336,153.927551269531,205.915390014648,365.881530761719,198.323272705078,281.149597167969,218.283416748047,370.635559082031,237.529693603516,154.962890625,0,0,0,2,0,1,0,0,2,1,1,1,0,0,0,9.6204719543457,0,4.57351922988892,0,0,8.73133659362793,4.21176767349243,4.09533929824829,4.0779709815979,41,39,34,46,38,41,49,29,39,30,37,39,201.602996826172,192.336151123047,167.727294921875,221.270858764648,177.836013793945,187.514297485352,220.860000610352,129.418060302734,170.26106262207,126.35302734375,151.527557373047,159.040863037109,4,4,3,6,7,3,5,9,7,6,8,4,19.6685848236084,19.7267837524414,14.799467086792,28.8614177703857,32.7592658996582,13.7205581665039,22.536735534668,40.1642265319824,30.5596790313721,25.2706069946289,32.7627143859863,16.3118839263916,75,41,43,62,117,119,158,113,105,73,91,67,368.785949707031,202.19953918457,212.125701904297,298.234649658203,547.547729492188,544.248779296875,712.160827636719,504.2841796875,458.395172119141,307.459045410156,372.675903320313,273.224029541016,10,4,8,9,11,7,14,18,19,23,15,19,49.171459197998,19.7267837524414,39.4652442932129,43.2921257019043,51.4788475036621,32.0146369934082,63.1028594970703,80.3284530639648,82.9477005004883,96.8706588745117,61.4300918579102,77.4814453125,24522,6685141.25830078,12397.4903776028
10,Avondale,153,32,31,37,44,65,40,41,49,36,49,51,84,249.337692260742,228.951248168945,259.467041015625,305.491912841797,445.816192626953,272.201416015625,279.177459716797,335.3408203125,238.996215820313,311.130859375,312.5,508.259216308594,13,9,10,4,11,16,34,32,19,28,18,11,101.293441772461,66.4697189331055,70.1262283325195,27.7719917297363,75.4458160400391,108.880569458008,231.513000488281,218.998077392578,126.136894226074,177.7890625,110.294120788574,66.5577545166016,3,7,14,20,6,12,37,20,27,9,8,11,23.3754081726074,51.6986694335938,98.1767196655273,138.859954833984,41.1522636413574,81.6604309082031,251.940628051758,136.873809814453,179.247161865234,57.146484375,49.0196075439453,66.5577545166016,11,9,7,11,13,13,13,17,8,19,21,18,85.709831237793,66.4697189331055,49.0883598327637,76.3729782104492,89.1632385253906,88.465461730957,88.5196762084961,116.342735290527,53.1102714538574,120.642578125,128.676467895508,108.912689208984,0,0,0,0,11,0,1,0,1,0,0,0,0,0,0,0,75.4458160400391,0,6.80920600891113,0,6.63878393173218,0,0,0,2,3,1,6,7,3,9,6,1,6,12,5,15.5836057662964,22.1565723419189,7.01262283325195,41.6579895019531,48.0109748840332,20.4151077270508,61.2828559875488,41.062141418457,6.63878393173218,38.09765625,73.529411315918,30.2535247802734,1,0,0,1,0,0,1,0,0,1,0,0,7.79180288314819,0,0,6.94299793243408,0,0,6.80920600891113,0,0,6.349609375,0,0,8,6,14,9,8,22,36,25,40,64,21,18,62.3344230651855,44.3131446838379,98.1767196655273,62.4869804382324,54.869686126709,149.710784912109,245.131423950195,171.092254638672,265.551361083984,406.375,128.676467895508,108.912689208984,2,1,5,5,5,4,3,5,9,5,3,3,15.5836057662964,7.3855242729187,35.0631141662598,34.7149887084961,34.2935523986816,27.220142364502,20.4276180267334,34.2184524536133,59.7490539550781,31.748046875,18.3823528289795,18.1521148681641,16527,1031682.44189453,5253.84815377906
